// Red Pouch of Surprise Summonable Monsters Database
//
// Structure of Database:
// MobID,DummyName,Rate

0,Poring,1002
1001,ÃÈ¤l,214285
1002,ªi§Q,1000000
1004,¸Á§L,357142
1005,§l¦å½¿½»,357142
1007,ºñ´ÖÂÎ,428571
1008,ÂÎ¸º,71428
1009,¨rÆN,357142
1010,¾ðºë,357142
1011,»aÃÇ,357142
1012,Ã¹¹Fµì,357142
1013,¯T,357142
1014,Å]Û£,357142
1015,»G«Í,357142
1016,¨¸Àe¤}½b¤â,214285
1018,§J·ç¦Ì,357142
1019,¤j¼L³¾,357142
1020,°ÒªûÃ¹Å]ªá,357142
1023,Ã~¤H¾Ô¤h,214285
1024,´ËÆF,357142
1025,«C³D,357142
1026,íL«Í,214285
1028,¨¸Àe¤h§L,214285
1029,³D¤k¥ìµ·,71428
1030,¬r³D,214285
1031,ªiªi§Q,357142
1032,¤ì¤D¥ì¤ü,214285
1033,ªø¦Ñ¾ðºë,214285
1034,¹F©Ôµì,214285
1035,¨ª»aÃÇ,71428
1036,ºñ»G«Í,214285
1037,¶Â³D,71428
1040,¥¨¥Û©Ç,214285
1041,¤ì¤D¥ì,214285
1042,ºñ»aÃÇ,357142
1044,¤H³½,214285
1045,°¨§J,214285
1047,¤j¼L³¾³J,71428
1048,µsÂÎ§Z,71428
1049,¤pÂû,357142
1050,³J´ß¤pÂû,357142
1051,µsÂÎ,357142
1052,½ÀÂÎ,357142
1053,¯B°ÇµsÂÎ,357142
1054,º¿°ÇµsÂÎ,357142
1055,¼¯¥d,357142
1056,»©¿ß,357142
1057,·È·ÈµU,357142
1058,­«ª÷ÄÝ½ÀÂÎ,214285
1060,¤j¸}ºµ,214285
1061,¹ÚÆL,71428
1062,¸t½Ïªi§Q,357142
1063,ºÆ¨ß,357142
1064,¨¸Àe­¹¤H³½,214285
1065,®ü¯«,214285
1066,¿ÀÃÉ,357142
1067,¥d¨º¦h´µ,214285
1068,®ü¸ª,357142
1069,²§ÅÜ³½,214285
1070,®w§J¹p,357142
1071,¨¸Àe®üµs,214285
1072,¥d¯E,71428
