// 老舊收集相冊可以得到的卡片數據
// 守護永恆[Dathena] 2005/12/17
// 數據格式:
// 卡片ID,卡片名稱,機率(例:百萬分率500000=50%,1000000=100%)
// 機率的判定方法:道具使用失敗時,在全部機率都沒有抽到卡片的情況下自動抽到ID為0的卡片.
// 當系統抽到多個同樣機率的卡片時,會以最后一次抽到的為準,也就是同機率編號靠后的為準.

0,波利卡片,4001
4001,波利卡片,70000
4002,綠棉蟲卡片,70000
4003,蟲蛹卡片,70000
4004,土波利卡片,70000
4005,聖誕波利卡片,10000
4006,瘋兔卡片,70000
4007,大嘴鳥蛋卡片,40000
4008,小雞卡片,10000
4009,蒼蠅卡片,70000
4010,樹精卡片,70000
4011,蛋殼小雞卡片,70000
4012,盜蟲卵卡片,50000
4013,蟻卵卡片,50000
4014,羅達蛙卡片,50000
4015,禿鷹卡片,50000
4016,盜蟲卡片,50000
4017,小野豬卡片,50000
4018,白蟻幼蟲卡片,50000
4019,蜂兵卡片,50000
4020,吸血蝙蝠卡片,50000
4021,搖滾蝗蟲卡片,50000
4022,魔菇卡片,50000
4023,沙漠幼狼卡片,50000
4024,漂浮蟲卡片,50000
4025,邪骸戰士卡片,50000
4026,浮勒盜蟲卡片,30000
4027,庫克雷卡片,30000
4028,白鼠卡片,30000
4029,狼卡片,30000
4030,曼陀蘿魔花卡片,30000
4031,大嘴鳥卡片,30000
4032,蝸牛卡片,30000
4033,波波利卡片,30000
4034,森靈卡片,30000
4035,海葵卡片,30000
4036,摩卡卡片,30000
4037,青蛇卡片,30000
4038,腐屍卡片,30000
4039,瓢蟲卡片,30000
4040,克瑞米卡片,30000
4041,松鼠卡片,30000
4042,綠蒼蠅卡片,30000
4043,白蟻卡片,30000
4044,貍貓卡片,10000
4045,鍬形蟲卡片,30000
4046,土撥鼠卡片,30000
4047,幽靈波利卡片,5000
4048,毒魔菇卡片,30000
4049,螃蟹卡片,30000
4050,瑪勒盜蟲卡片,30000
4051,溜溜猴卡片,30000
4052,長老樹精卡片,30000
4053,黑蟻卡片,10000
4054,天使波利卡片,10000
4055,水母卡片,30000
4056,獵蠅卡片,30000
4057,重金屬蝗蟲卡片,20000
4058,突變蛙卡片,20000
4060,哥布靈卡片,20000
4061,卡那多斯卡片,20000
4062,黃蛇卡片,20000
4063,刺蝟蟲卡片,20000
4064,杰洛米卡片,20000
4065,卡浩卡片,20000
4066,獸人戰士卡片,20000
4067,邪骸食人魚卡片,20000
4068,蠍子卡片,20000
4069,紅蝙蝠卡片,20000
4070,轉轉蛋卡片,20000
4071,獸人腐屍卡片,20000
4072,巨石怪卡片,20000
4073,邪骸海盜卡片,20000
4074,大腳熊卡片,20000
4075,艾斯蜘蛛卡片,20000
4076,魔鍋蛋卡片,20000
4077,劍魚卡片,20000
4078,野豬卡片,20000
4079,螳螂卡片,20000
4080,噬人花卡片,10000
4081,蚯蚓卡片,20000
4082,沙漠之狼卡片,10000
4083,草精卡片,10000
4084,氣泡蟲卡片,10000
4085,邪骸獸人卡片,10000
4086,邪骸士兵卡片,10000
4087,基爾瑟卡片,10000
4088,傘蜥卡片,10000
4089,異變魚卡片,10000
4090,殭屍卡片,10000
4091,犬妖卡片,10000
4092,邪骸礦工卡片,10000
4093,人魚卡片,10000
4094,邪骸弓箭手卡片,10000
4095,烏賊卡片,10000
4096,茲諾可卡片,10000
4097,黑狐卡片,10000
4098,土人卡片,10000
4099,帕莎納卡片,10000
4100,鬼女卡片,10000
4101,泥人卡片,10000
4102,白幽靈卡片,5000
4103,鬼火卡片,10000
4104,諾可伊卡片,10000
4105,馬克卡片,10000
4106,木乃伊卡片,10000
4107,木乃伊犬卡片,10000
4108,麥斯特卡片,10000
4109,南瓜先生卡片,10000
4110,綠腐屍卡片,10000
4111,海神卡片,10000
4112,馬爾杜克卡片,10000
4113,傀儡娃娃卡片,10000
4114,艾吉歐蜈蚣卡片,10000
4115,赤蒼蠅卡片,10000
4116,蛇女伊絲卡片,10000
4117,黑蛇卡片,10000
4118,畢帝特地龍卡片,10000
4119,巫婆卡片,10000
4120,畢帝特飛龍卡片,10000
4122,小惡魔卡片,10000
4124,米杜沙卡片,10000
