// 物品分組數據
// 守護永恆[Dathena] 2005/12/17
// 數據格式:
// 組數字,物品ID1,物品ID2,物品ID3,...,物品ID20

1,501,502,503,504,505,506	// 藥水系列物品
2,507,508,509,510,511		// 藥草系列物品
3,512,513,514,515,516		// 水果系列物品
4,517,528			// 肉系列物品
5,529,530			// 糖果系列物品
6,531,532,534			// 果汁系列物品 (葡萄汁不計算在內)
7,544,551			// 生魚片系列物品
8,603,617,644			// 盒子系列物品
9,715,716,717			// 寶石系列物品
10,909,7126			// 結晶系列物品
11,756,757,998,999,1002,1003,1010,1011	// 礦石系列物品
12,512,513,514,515,516,517,528,529,530,544,551	// 食物系列物品
13,501,502,503,504,505,506,507,508,509,510,511,531,532,533,534	// 恢復系列物品
14,714,756,757,969,984,985,990,991,992,993,994,995,996,997,998,999,1002,1003,1010,1011	// 礦石系列物品
15,619,620,621,622,623,624,625,626,627,628,629,630,631,632,633,634,635,636,637,638,639,640,641,642,659,660,661	// 抓寵物系列物品
16,686,687,688,689,690,691,692,693,694,695,696,697,698,699,700,12000,12001,12002,12003	// 魔法卷軸系列物品
17,12004,12005,12006,12007,12008,12009,12010,12011,12012,12013,12014,12015	// 箭矢系列物品
18,2263,2278,2288,2297,5043,5087,5088,5089,5090	// 面具系列物品
19,2601,2602,2603,2604,2605,2606,2607,2608,2610,2611,2612,2613,2614,2615,2616,2617,2618,2619,2620,2621,2622,2623,2624,2625,2626,2627,2628,2640,2641,2648,2649,2650,2651	// 裝飾品系列物品
