//ID,Sprite_Name,Name,LV,HP,SP,Range1,ATK1,ATK2,DEF,MDEF,STR,AGI,VIT,INT,DEX,LUK,Range2,Range3,Scale,Race,Element,Speed,aDelay,aMotion,dMotion
// Å]ª«¶Ä§L 
1191,MIMIC,¨¸´c½c,51,6120,100,2,150,900,10,40,44,121,1,60,75,110,10,12,1,0,60,100,972,500,288 
1506,DISGUISE,°²­±°­,55,7543,100,2,279,546,18,29,0,72,45,35,48,65,10,12,1,6,82,147,516,768,384 
1275,ALICE,·RÄRµ·¤k¹²,62,10000,100,2,550,700,5,5,64,64,42,85,100,130,10,12,1,7,60,200,502,2304,480 
1965,M_WILD_ROSE,¨g¼É³¥¿ß,38,2980,130,2,315,360,0,15,65,85,15,35,65,80,10,12,0,2,24,100,964,864,288 
1966,M_DOPPELGANGER,¦ºÆF,72,249000,200,2,1340,1590,60,35,88,90,30,35,125,65,10,12,1,6,67,100,480,480,288 
1967,M_YGNIZEM,îî¡´¼C¤h,58,11200,320,2,823,1212,35,8,60,35,52,18,79,20,10,12,1,7,43,145,576,432,288 
2000,M_GAMEMASTER,[GM] Game Master,50,7000,250,2,100,50,6,17,1,109,1,60,215,111,10,0,0,7,20,150,450,432,300
2001,F_GAMEMASTER,[GM] Game Master,50,7000,250,2,100,50,6,17,1,109,1,60,215,111,10,0,0,7,20,150,450,432,300
2037,VALKYRIE_A,Valkyrie Randgris,90,5000,15,1,10,160,10,20,1,20,40,0,20,20,10,12,1,8,66,100,576,576,480
2038,VALKYRIE_B,Valkyrie Randgris,90,10000,15,1,300,450,10,40,1,20,80,0,80,20,10,12,1,8,66,100,576,576,480
// ´¶³q¶Ä§L
6017,MER_ARCHER01,¦Ì¯Ç,20,256,200,10,170,255,7,5,1,16,5,1,28,8,10,0,0,7,20,150,700,432,300
6018,MER_ARCHER02,¦«Ã¹ÅS,30,457,70,10,228,342,11,7,1,18,8,1,40,11,10,0,0,7,20,150,700,432,300
6019,MER_ARCHER03,®R¦Ì,40,732,93,10,260,390,15,9,3,21,12,4,52,17,10,0,0,7,20,150,700,432,300
6020,MER_ARCHER04,¦ã»«,50,1092,116,10,310,465,18,11,5,33,17,6,60,23,10,0,0,7,20,150,575,432,300
6021,MER_ARCHER05,§JµÜ©Ô,60,2212,280,10,360,540,20,13,5,41,17,12,75,30,10,0,0,7,20,150,575,432,300
6022,MER_ARCHER06,¹F§Q,70,3098,353,10,424,636,21,15,11,46,24,22,83,37,10,0,0,7,20,150,575,432,300
6023,MER_ARCHER07,¥d©Ô¶®,80,4051,415,10,468,702,22,16,14,55,27,26,91,44,10,0,0,7,20,150,450,432,300
6024,MER_ARCHER08,§Æ³é²ú,90,5039,469,10,482,723,24,18,19,65,27,27,103,49,10,0,0,7,20,150,450,432,300
6025,MER_ARCHER09,³ÍÃ¹,95,5572,499,10,500,750,25,20,20,71,27,28,110,51,10,0,0,7,20,150,450,432,300
6026,MER_ARCHER10,µÎ°ò,99,7381,642,10,816,1124,49,49,21,83,27,28,123,52,10,0,0,7,20,150,450,432,300
6027,MER_LANCER01,Ã¹¹©,22,2071,100,2,168,252,30,1,27,1,4,1,30,2,10,0,0,7,20,150,700,432,300
6028,MER_LANCER02,ÂÅ¦è,34,2523,131,2,208,312,33,1,37,1,4,1,37,4,10,0,0,7,20,150,700,432,300
6029,MER_LANCER03,¨Ì¾|¥d,41,3397,161,2,248,372,36,5,45,1,22,1,40,6,10,0,0,7,20,150,700,432,300
6030,MER_LANCER04,Ã¹¦w,55,4580,191,2,300,450,39,5,55,2,35,1,50,8,10,0,0,7,20,150,575,432,300
6031,MER_LANCER05,¶ø§Q¹ÅÃ¹,60,5899,221,2,350,510,42,10,65,2,39,1,60,10,10,0,0,7,20,150,575,432,300
6032,MER_LANCER06,©Ô¼w°Ç¯S,72,7874,252,2,370,555,46,10,75,3,15,77,61,12,10,0,0,7,20,150,575,432,300
6033,MER_LANCER07,¼ï,81,10260,330,2,380,570,50,15,85,3,63,20,61,14,10,0,0,7,20,150,450,432,300
6034,MER_LANCER08,²¦¯Ç¥d,90,13167,366,2,400,600,55,20,95,20,74,20,63,16,10,0,0,7,20,150,450,432,300
6035,MER_LANCER09,»Å²üµY,95,14648,398,2,440,660,60,25,100,25,77,25,63,18,10,0,0,7,20,150,450,432,300
6036,MER_LANCER10,¿c,99,18000,413,2,700,950,70,30,120,30,90,30,70,30,10,0,0,7,20,150,450,432,300
6037,MER_SWORDMAN01,¤j½Ã,20,502,70,2,174,261,26,0,21,27,5,1,30,3,10,0,0,7,20,150,700,432,300
6038,MER_SWORDMAN02,·R­Û,30,979,99,2,258,387,31,0,26,38,6,1,35,3,10,0,0,7,20,150,700,432,300
6039,MER_SWORDMAN03,¸ô©ö¤h,40,1555,134,2,326,489,36,3,31,45,7,6,40,6,10,0,0,7,20,150,700,432,300
6040,MER_SWORDMAN04,ªkÄõ§J,50,2397,162,2,382,573,39,5,37,59,8,6,40,6,10,0,0,7,20,150,575,432,300
6041,MER_SWORDMAN05,¹p®¦,60,3387,195,2,406,609,42,7,48,68,9,6,45,9,10,0,0,7,20,150,575,432,300
6042,MER_SWORDMAN06,«O«ÎÃ¹,70,4495,241,2,436,654,45,12,53,79,10,12,50,9,10,0,0,7,20,150,575,432,300
6043,MER_SWORDMAN07,ÃC´µ,80,5889,279,2,468,702,47,15,59,88,11,12,55,12,10,0,0,7,20,150,450,432,300
6044,MER_SWORDMAN08,´£­C²ú,90,7520,325,2,500,750,49,18,70,95,12,18,60,15,10,0,0,7,20,150,450,432,300
6045,MER_SWORDMAN09,¥v«Òªâ,95,9052,348,2,524,786,51,22,80,95,18,18,60,15,10,0,0,7,20,150,450,432,300
6046,MER_SWORDMAN10,­³®¦,99,12355,451,2,760,1040,64,30,99,105,30,30,60,30,10,0,0,7,20,150,450,432,300
