// Dead Branch Summonable Monsters Database
//
// Structure of Database:
// MobID,DummyName,Rate

0,SCORPION,Scorpion,1001
1001,蠍子,214285
1002,波利,1000000
1004,蜂兵,357142
1005,吸血蝙蝠,357142
1007,綠棉蟲,428571
1008,蟲蛹,71428
1009,禿鷹,357142
1010,樹精,357142
1011,蒼蠅,357142
1012,羅達蛙,357142
1013,狼,357142
1014,魔菇,357142
1015,腐屍,357142
1016,邪骸弓箭手,214285
1018,克瑞米,357142
1019,大嘴鳥,357142
1020,曼陀羅魔花,357142
1023,獸人戰士,214285
1024,森靈,357142
1025,青蛇,357142
1026,殭屍,214285
1028,邪骸士兵,214285
1029,蛇女伊絲,71428
1030,毒蛇,214285
1031,波波利,357142
1032,木乃伊犬,214285
1033,長老樹精,214285
1034,達拉蛙,214285
1035,赤蒼蠅,71428
1036,綠腐屍,214285
1037,黑蛇,71428
1040,巨石怪,214285
1041,木乃伊,214285
1042,綠蒼蠅,357142
1044,人魚,214285
1045,馬克,214285
1047,大嘴鳥蛋,71428
1048,盜蟲卵,71428
1049,小雞,357142
1050,蛋殼小雞,357142
1051,盜蟲,357142
1052,蝗蟲,357142
1053,浮勒盜蟲,357142
1054,瑪勒盜蟲,357142
1055,摩卡,357142
1056,貍貓,357142
1057,溜溜猴,357142
1058,重金屬蝗蟲,214285
1060,大腳熊,214285
1061,夢魘,71428
1062,聖誕波利,357142
1063,瘋兔,357142
1064,邪骸食人魚,214285
1065,海神,214285
1066,螃蟹,357142
1067,卡那多斯,214285
1068,海葵,357142
1069,異變魚,214285
1070,庫克雷,357142
1071,邪骸海盜,214285
1072,卡浩,71428
1073,卡拉蟹,214285
1074,貝殼魔靈,357142
1076,邪骸戰士,357142
1077,毒魔菇,357142
1078,紅草,71428
1079,藍草,71428
1080,綠草,71428
1081,黃草,71428
1082,白草,71428
1083,光芒草,71428
1084,黑菇,71428
1085,紅菇,71428
1088,搖滾蝗蟲,71428
1089,蛙王,71428
1090,波利之王,71428
