// Quest Database
//
// Structure of Database :
// Quest ID,Time Limit,Target1,Val1,Target2,Val2,Target3,Val3,Quest Title
1000,0,0,0,0,0,0,0,"轉生"
1001,0,0,0,0,0,0,0,"服事轉職"
1002,0,0,0,0,0,0,0,"服事轉職"
1003,0,0,0,0,0,0,0,"服事轉職"
1004,0,0,0,0,0,0,0,"弓箭手轉職"
1005,0,0,0,0,0,0,0,"魔法師轉職"
1006,0,0,0,0,0,0,0,"魔法師轉職"
1007,0,0,0,0,0,0,0,"魔法師轉職"
1008,0,0,0,0,0,0,0,"魔法師轉職"
1009,0,0,0,0,0,0,0,"商人轉職"
1010,0,0,0,0,0,0,0,"商人轉職"
1011,0,0,0,0,0,0,0,"商人轉職"
1012,0,0,0,0,0,0,0,"商人轉職"
1013,0,0,0,0,0,0,0,"盜賊轉職"
1014,0,0,0,0,0,0,0,"劍士轉職"
1015,0,0,0,0,0,0,0,"第一個任務"
1016,0,0,0,0,0,0,0,"提升等級"
2000,0,0,0,0,0,0,0,"鐵匠轉職"
2001,0,0,0,0,0,0,0,"鐵匠轉職"
2002,0,0,0,0,0,0,0,"鐵匠轉職"
2003,0,0,0,0,0,0,0,"鐵匠轉職"
2004,0,0,0,0,0,0,0,"鐵匠轉職"
2005,0,0,0,0,0,0,0,"鐵匠轉職"
2006,0,0,0,0,0,0,0,"鐵匠轉職"
2007,0,0,0,0,0,0,0,"鐵匠轉職"
2008,0,0,0,0,0,0,0,"鐵匠轉職"
2009,0,0,0,0,0,0,0,"鐵匠轉職"
2010,0,0,0,0,0,0,0,"鐵匠轉職"
2011,0,0,0,0,0,0,0,"鐵匠轉職"
2012,0,0,0,0,0,0,0,"鐵匠轉職"
2013,0,0,0,0,0,0,0,"鐵匠轉職"
2014,0,0,0,0,0,0,0,"鐵匠轉職"
2015,0,0,0,0,0,0,0,"鐵匠轉職"
2016,0,0,0,0,0,0,0,"鐵匠轉職"
2017,0,0,0,0,0,0,0,"流氓轉職"
2018,0,0,0,0,0,0,0,"流氓轉職"
2019,0,0,0,0,0,0,0,"流氓轉職"
2020,0,0,0,0,0,0,0,"流氓轉職"
2021,0,0,0,0,0,0,0,"流氓轉職"
2022,0,0,0,0,0,0,0,"流氓轉職"
2023,0,0,0,0,0,0,0,"流氓轉職"
2024,0,0,0,0,0,0,0,"流氓轉職"
2025,0,0,0,0,0,0,0,"流氓轉職"
2026,0,0,0,0,0,0,0,"流氓轉職"
2027,0,0,0,0,0,0,0,"流氓轉職"
2028,0,0,0,0,0,0,0,"鍊金術師轉職"
2029,0,0,0,0,0,0,0,"鍊金術師轉職"
2030,0,0,0,0,0,0,0,"鍊金術師轉職"
2031,0,0,0,0,0,0,0,"鍊金術師轉職"
2032,0,0,0,0,0,0,0,"鍊金術師轉職"
2033,0,0,0,0,0,0,0,"鍊金術師轉職"
2034,0,0,0,0,0,0,0,"鍊金術師轉職"
2035,0,0,0,0,0,0,0,"鍊金術師轉職"
2036,0,0,0,0,0,0,0,"鍊金術師轉職"
2037,0,0,0,0,0,0,0,"鍊金術師轉職"
2038,0,0,0,0,0,0,0,"鍊金術師轉職"
2039,0,0,0,0,0,0,0,"鍊金術師轉職"
2040,0,0,0,0,0,0,0,"鍊金術師轉職"
2041,0,0,0,0,0,0,0,"賢者轉職"
2042,0,0,0,0,0,0,0,"賢者轉職"
2043,0,0,0,0,0,0,0,"賢者轉職"
2044,0,0,0,0,0,0,0,"賢者轉職"
2045,0,0,0,0,0,0,0,"賢者轉職"
2046,0,0,0,0,0,0,0,"賢者轉職"
2047,0,0,0,0,0,0,0,"賢者轉職"
2048,0,0,0,0,0,0,0,"賢者轉職"
2049,0,0,0,0,0,0,0,"賢者轉職"
2050,0,0,0,0,0,0,0,"賢者轉職"
2051,0,0,0,0,0,0,0,"賢者轉職"
2052,0,0,0,0,0,0,0,"賢者轉職"
2053,0,0,0,0,0,0,0,"賢者轉職"
2054,0,0,0,0,0,0,0,"賢者轉職"
2055,0,0,0,0,0,0,0,"賢者轉職"
2056,0,0,0,0,0,0,0,"賢者轉職"
2057,0,0,0,0,0,0,0,"賢者轉職"
2058,0,0,0,0,0,0,0,"賢者轉職"
2059,0,0,0,0,0,0,0,"賢者轉職"
2060,0,0,0,0,0,0,0,"賢者轉職"
2061,0,0,0,0,0,0,0,"賢者轉職"
2062,0,0,0,0,0,0,0,"賢者轉職"
2063,0,0,0,0,0,0,0,"命運的烏鴉"
2064,0,0,0,0,0,0,0,"命運的烏鴉"
2065,0,0,0,0,0,0,0,"命運的烏鴉"
2066,0,0,0,0,0,0,0,"命運的烏鴉"
2067,0,0,0,0,0,0,0,"命運的烏鴉"
2068,0,0,0,0,0,0,0,"命運的烏鴉"
2069,300,0,0,0,0,0,0,"馬羅提耶拉峽谷戰鬥"
2070,300,0,0,0,0,0,0,"馬羅瀑拉畢烏斯戰鬥"
2071,0,0,0,0,0,0,0,"詛咒的遺?"
2072,0,0,0,0,0,0,0,"詛咒的遺?"
2073,0,0,0,0,0,0,0,"詛咒的遺?"
2074,0,0,0,0,0,0,0,"詛咒的遺?"
2075,0,0,0,0,0,0,0,"詛咒的遺?"
2076,0,0,0,0,0,0,0,"詛咒的遺?"
2077,0,0,0,0,0,0,0,"詛咒的遺?"
2078,0,0,0,0,0,0,0,"詛咒的遺?"
2079,0,0,0,0,0,0,0,"扭曲的過去"
2080,0,0,0,0,0,0,0,"扭曲的過去"
2081,0,0,0,0,0,0,0,"扭曲的過去"
2082,0,0,0,0,0,0,0,"扭曲的過去"
2083,0,0,0,0,0,0,0,"扭曲的過去"
2084,0,0,0,0,0,0,0,"扭曲的過去"
2085,0,0,0,0,0,0,0,"扭曲的過去"
2086,0,0,0,0,0,0,0,"企業任務"
2087,0,0,0,0,0,0,0,"企業任務"
2088,0,0,0,0,0,0,0,"企業任務"
2089,0,0,0,0,0,0,0,"企業任務"
2090,0,0,0,0,0,0,0,"企業任務"
2091,0,0,0,0,0,0,0,"企業任務"
2092,0,0,0,0,0,0,0,"企業任務"
2093,0,0,0,0,0,0,0,"企業任務"
2094,0,0,0,0,0,0,0,"企業任務"
2095,0,0,0,0,0,0,0,"企業任務"
2109,0,0,0,0,0,0,0,"冰封洞穴的魔法師"
2110,0,0,0,0,0,0,0,"冰封洞穴的魔法師"
2111,0,0,0,0,0,0,0,"冰封洞穴的魔法師"
2112,0,0,0,0,0,0,0,"冰封洞穴的魔法師"
2113,0,0,0,0,0,0,0,"冰封洞穴的魔法師"
2114,0,0,0,0,0,0,0,"托爾火山的基地"
2115,0,0,0,0,0,0,0,"托爾火山的基地"
2116,0,0,0,0,0,0,0,"托爾火山的基地"
2117,0,0,0,0,0,0,0,"托爾火山的基地"
2118,0,0,0,0,0,0,0,"托爾火山的基地"
2119,0,0,0,0,0,0,0,"托爾火山的基地"
2120,0,0,0,0,0,0,0,"托爾火山的基地"
2121,0,0,0,0,0,0,0,"托爾火山的基地"
2122,0,0,0,0,0,0,0,"托爾火山的基地"
2123,0,0,0,0,0,0,0,"托爾火山的基地"
2124,0,0,0,0,0,0,0,"托爾火山的基地"
2125,0,0,0,0,0,0,0,"托爾火山的基地"
2126,0,0,0,0,0,0,0,"托爾火山的基地"
2127,0,0,0,0,0,0,0,"托爾火山的基地"
2128,0,0,0,0,0,0,0,"托爾火山的基地"
2129,0,0,0,0,0,0,0,"為了阿盧納貝茲"
2130,0,0,0,0,0,0,0,"為了阿盧納貝茲"
2131,0,0,0,0,0,0,0,"為了阿盧納貝茲"

2143,0,0,0,0,0,0,0,"公會地牢活動"
2144,0,0,0,0,0,0,0,"公會地牢活動"

2147,0,0,0,0,0,0,0,"對待新事物的姿態"
2148,0,0,0,0,0,0,0,"對待新事物的姿態"
2149,0,0,0,0,0,0,0,"對待新事物的姿態"
2150,0,1995,30,0,0,0,0,"對待新事物的姿態"
2151,0,1992,10,0,0,0,0,"對待新事物的姿態"
2152,0,0,0,0,0,0,0,"對待新事物的姿態"
2153,0,0,0,0,0,0,0,"對待新事物的姿態"
2154,0,0,0,0,0,0,0,"對待新事物的姿態"
2155,0,0,0,0,0,0,0,"對待新事物的姿態"
2156,0,0,0,0,0,0,0,"對待新事物的姿態"
2157,0,1986,10,0,0,0,0,"對待新事物的姿態"
2158,0,0,0,0,0,0,0,"發現妖精"
2159,0,0,0,0,0,0,0,"發現巨人"
2179,0,0,0,0,0,0,0,"繼續的研究"
2180,0,0,0,0,0,0,0,"繼續的研究"
2181,0,0,0,0,0,0,0,"繼續的研究"
2182,0,0,0,0,0,0,0,"繼續的研究"
2183,0,0,0,0,0,0,0,"香水"
2184,0,0,0,0,0,0,0,"香水"
2185,0,0,0,0,0,0,0,"香水"
2186,0,0,0,0,0,0,0,"香水"
3000,0,0,0,0,0,0,0,"吟遊詩人轉職 - 美麗的音樂聲"
3001,0,0,0,0,0,0,0,"吟遊詩人轉職 — 學費竟是花?"
3002,0,0,0,0,0,0,0,"吟遊詩人轉職 — 成?吟遊詩人的第一步"
3003,0,0,0,0,0,0,0,"吟遊詩人轉職 — 跟唱"
3004,0,0,0,0,0,0,0,"吟遊詩人轉職 — 最後關卡"
3006,0,0,0,0,0,0,0,"十字軍轉職 - 資格"
3007,0,0,0,0,0,0,0,"十字軍轉職 - 資格"
3008,0,0,0,0,0,0,0,"十字軍轉職 - 資格"
3009,0,0,0,0,0,0,0,"十字軍轉職 - 牧勒拿喀 咪月"
3010,0,0,0,0,0,0,0,"十字軍轉職 — 耐心考驗"
3011,0,0,0,0,0,0,0,"十字軍轉職 — 持續不斷的考驗"
3012,0,0,0,0,0,0,0,"十字軍轉職 — 知識考驗"
3013,0,0,0,0,0,0,0,"十字軍轉職 - 持續不斷的考驗2"
3014,0,0,0,0,0,0,0,"十字軍轉職 — 最後考驗"
3015,0,0,0,0,0,0,0,"十字軍轉職 - 考驗結束"
3016,0,0,0,0,0,0,0,"武道家轉職 - 武道家之路"
3017,0,0,0,0,0,0,0,"武道家轉職 - 資格與准備"
3018,0,0,0,0,0,0,0,"武道家轉職 - 資格與准備"
3019,0,0,0,0,0,0,0,"武道家轉職 - 資格與准備"
3020,0,0,0,0,0,0,0,"武道家轉職 - 資格與准備"
3021,0,0,0,0,0,0,0,"武道家轉職 - 資格與准備"
3022,0,0,0,0,0,0,0,"武道家轉職 - 資格與准備"
3023,0,0,0,0,0,0,0,"武道家轉職 - 資格與准備"
3024,0,0,0,0,0,0,0,"武僧轉職 - 多哈的召喚"
3025,0,0,0,0,0,0,0,"武僧轉職 - 教理問答考試"
3026,0,0,0,0,0,0,0,"武僧轉職 - 布海的召喚"
3027,0,0,0,0,0,0,0,"武僧轉職 - 采集蘑菇"
3028,0,0,0,0,0,0,0,"武僧轉職 - 馬拉松"
3029,0,0,0,0,0,0,0,"武僧轉職 - 最後的考試"
3030,0,0,0,0,0,0,0,"Job Change to Monk"
3031,0,0,0,0,0,0,0,"武僧轉職 - 驅魔修行"
3032,0,0,0,0,0,0,0,"武僧轉職 - 轉職成武僧"
3040,43200,0,0,0,0,0,0,"巴風特的詛咒 — 來自墳墓之鮮血"
3041,180,0,0,0,0,0,0,"巴風特的詛咒 — 魔力的枯竭"
3042,0,0,0,0,0,0,0,"附有魔力的巴風特娃娃之真相"
3043,0,0,0,0,0,0,0,"真實的山羊頭盔"
3044,0,0,0,0,0,0,0,"The Gigantic Magestic Goat"
3045,9600,0,0,0,0,0,0,"Sealed Shrine"
3046,0,0,0,0,0,0,0,"Sealed Shrine After-effect"

3050,0,0,0,0,0,0,0,"魔王的複活 - 夢羅克的消息"
3051,0,0,0,0,0,0,0,"魔王的複活 - 資格考試"
3052,0,0,0,0,0,0,0,"魔王的複活 - 資格考試2"
3053,0,0,0,0,0,0,0,"魔王的複活 - 討伐隊成員"
3054,0,0,0,0,0,0,0,"魔王的複活 - 擊退魔王！"
3055,0,0,0,0,0,0,0,"魔王的複活 - 時空的裂縫"
3056,0,0,0,0,0,0,0,"魔王的複活 - 獎勵時間"
3060,0,0,0,0,0,0,0,"菲音斯的兄妹 – 妹妹在哪裏呢?"
3061,0,0,0,0,0,0,0,"菲音斯的兄妹 – 打開腳鐐的方法是?"
3062,0,0,0,0,0,0,0,"菲音斯的兄妹 – 去找鎖匠"
3063,0,0,0,0,0,0,0,"菲音斯的兄妹 - 鎖匠魯鞍樂?"
3064,0,0,0,0,0,0,0,"菲音斯的兄妹 – 變形香皂"
3065,0,0,0,0,0,0,0,"菲音斯的兄妹 - 變形香皂的材料"
3066,0,0,0,0,0,0,0,"菲音斯的兄妹 - 想要制作變形香皂的話..."
3067,0,0,0,0,0,0,0,"菲音斯的兄妹 – 促進駱駝食欲的菜單"
3068,0,0,0,0,0,0,0,"菲音斯的兄妹 – 收集駱駝的便便"
3069,0,0,0,0,0,0,0,"菲音斯的兄妹 - 綢緞沙漠駱駝在哪裏?"
3070,0,0,0,0,0,0,0,"菲音斯的兄妹 – 消失的綢緞沙漠駱駝"
3071,0,0,0,0,0,0,0,"菲音斯的兄妹 – 發現了綢緞沙漠駱駝!"
3072,0,0,0,0,0,0,0,"菲音斯的兄妹 - 便便 1個收集完成"
3073,0,0,0,0,0,0,0,"菲音斯的兄妹 -  便便 2個收集完成"
3074,0,0,0,0,0,0,0,"菲音斯的兄妹 -  便便 3個收集完成"
3075,0,0,0,0,0,0,0,"菲音斯的兄妹 -  便便 4個收集完成"
